id,venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,screen_count,serves_food,has_wifi,has_garden,has_projector,pet_friendly,cover_photo_url,menu_photo_url,description,features,owner_email,pending_cover_photo_url,pending_menu_photo_url,photo_review_status,photo_review_created_at,cover_photo_thumbnail_url,menu_photo_thumbnail_url,admin_status,admin_archived_at,admin_archived_by,admin_archived_reason,business_id,country,venue_identity_key,owner_user_id,address_line1,address_line2,region,postal_code,formatted_address,supporter_country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,community_type,sport_tags,place_type
8d8fbdf2-0024-4ca8-b092-e02b29ff918c,Touchdown Morgantown Grill,3208 State St,Morgantown,WV,75342,null,null,null,39.680485,-80.016121,2026-05-23 01:14:59.891906+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,b52eca8abf3cada9b2f4a66191560595,null,null,null,null,null,null,null,community,country_curated_us_remaining_v1,usrem_0276,us_final_remaining_states_v1,2026-05-23 01:14:59.891906+00,us_final_remaining_launch_v1,"{""source_row_number"":276}",null,null,null
0d812d39-50df-4419-8cb8-fa41e09c2600,Corner Charleston Lounge,2502 Central St,Charleston,WV,93429,null,null,null,38.330943,-81.621452,2026-05-23 01:14:59.891906+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,9969985abde7d58220212df1d3c45d72,null,null,null,null,null,null,null,community,country_curated_us_remaining_v1,usrem_0277,us_final_remaining_states_v1,2026-05-23 01:14:59.891906+00,us_final_remaining_launch_v1,"{""source_row_number"":277}",null,null,null
8df63774-b83a-486d-97d8-aa182bc646b2,Pitch Morgantown Social House,8691 River St,Morgantown,WV,11875,null,null,null,39.667282,-79.913756,2026-05-23 01:14:59.891906+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,8b1ea2a7ddafb49afbf7862a2d0c73dc,null,null,null,null,null,null,null,community,country_curated_us_remaining_v1,usrem_0278,us_final_remaining_states_v1,2026-05-23 01:14:59.891906+00,us_final_remaining_launch_v1,"{""source_row_number"":278}",null,null,null
766ed8c5-a5bc-498b-8e46-d34116b8f464,Champions Cheyenne Pub,1056 Lake St,Cheyenne,WY,58993,null,null,null,41.171999,-104.82934,2026-05-23 01:14:59.891906+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,89b71d17ff5bf1ef980cc6f4b5bd871e,null,null,null,null,null,null,null,community,country_curated_us_remaining_v1,usrem_0279,us_final_remaining_states_v1,2026-05-23 01:14:59.891906+00,us_final_remaining_launch_v1,"{""source_row_number"":279}",null,null,null
4747009a-4ecb-4eb5-9fb9-fa7b1560b478,Overtime Cheyenne Sports Club,5391 Park St,Cheyenne,WY,57043,null,null,null,41.211768,-104.887272,2026-05-23 01:14:59.891906+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,c3983cc22ff6493d96f20a6865945106,null,null,null,null,null,null,null,community,country_curated_us_remaining_v1,usrem_0280,us_final_remaining_states_v1,2026-05-23 01:14:59.891906+00,us_final_remaining_launch_v1,"{""source_row_number"":280}",null,null,null
920f40d6-2d58-497a-94b0-518c470940eb,Rival Cheyenne Sports Bar,6404 Jefferson St,Cheyenne,WY,20984,null,null,null,41.191675,-104.795236,2026-05-23 01:14:59.891906+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,79406ca528f4ea7d51c6ce1005f0703b,null,null,null,null,null,null,null,community,country_curated_us_remaining_v1,usrem_0281,us_final_remaining_states_v1,2026-05-23 01:14:59.891906+00,us_final_remaining_launch_v1,"{""source_row_number"":281}",null,null,null
5c742706-2428-4637-b92e-e4b1e62cca59,Downtown Sports Tavern,100 Main St,Salt Lake City,UT,84101,null,null,null,40.7608,-111.891,2026-05-22 21:39:45.245682+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,af6feb1f79cfe849cede04f3e73d9aa3,null,null,null,null,null,null,null,community,national_seed_v1,null,utah_test_batch_1,2026-05-22 21:39:45.245682+00,manual_test,"{""source_row_number"":1}",null,null,null
b75e220b-cf36-47de-bbdd-e522cc3ab5bc,Mountain View Sports Pub,200 Center St,Provo,UT,84601,null,null,null,40.2338,-111.6585,2026-05-22 21:39:45.245682+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,541792b7b4675a21ccd2385ed6716b38,null,null,null,null,null,null,null,community,national_seed_v1,null,utah_test_batch_1,2026-05-22 21:39:45.245682+00,manual_test,"{""source_row_number"":2}",null,null,null
15661b2b-e218-4657-a0a2-d52ce8d48102,The Emporium Sports Bar Fort Collins,925 S Taft Hill Rd,Fort Collins,CO,80521,(970) 232-9920,https://emporiumnoco.com/,null,40.5756145,-105.1154803,2026-05-22 22:35:04.716796+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,f3493ac729eda00e283cbd34ec6fe4d3,null,null,null,null,null,null,null,community,state_curated_colorado_v1,emporium_fort_collins,colorado_production_v1,2026-05-22 22:35:04.716796+00,regional_launch_v1,"{""source_row_number"":19}",null,null,null
7cb1a3f7-2a1b-4f7f-aeed-f431acb76196,Brothers Bar & Grill Fort Collins,147 S College Ave,Fort Collins,CO,80524,(970) 698-8972,https://www.brothersbar.com/fortcollins,null,40.5860607,-105.077326,2026-05-22 22:35:04.716796+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,66d4255e9a8358c1f305f4ebf9b5c871,null,null,null,null,null,null,null,community,state_curated_colorado_v1,brothers_fort_collins,colorado_production_v1,2026-05-22 22:35:04.716796+00,regional_launch_v1,"{""source_row_number"":20}",null,null,null
57aa821b-ccb4-4061-ab84-821e7c0bbe5a,CooperSmith's Billiards,7 Old Town Square Suite 101,Fort Collins,CO,80524,(970) 498-0483,https://coopersmithspub.com/billiards/,null,40.5880096,-105.0754678,2026-05-22 22:35:04.716796+00,null,null,null,null,null,null,,,,,null,null,null,approved,null,null,null,active,null,null,null,null,USA,fd28b07a42fc4e2568b3d18403cad642,null,null,null,null,null,null,null,community,state_curated_colorado_v1,coopersmiths_billiards,colorado_production_v1,2026-05-22 22:35:04.716796+00,regional_launch_v1,"{""source_row_number"":21}",null,null,null
