import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
arizona_production_v1,1,state_curated_arizona_v1,zipps_arcadia,Zipps Sports Grill Arcadia,3647 E Indian School Rd,Phoenix,AZ,85018,USA,33.4946207,-112.0024873,(602) 957-2112,https://www.zippssportsgrills.com/locations/arcadia/
arizona_production_v1,2,state_curated_arizona_v1,zipps_bethany_home,Zipps Sports Grill Bethany Home,1515 E Bethany Home Rd,Phoenix,AZ,85014,USA,33.5226241,-112.0487062,(602) 266-1600,https://www.zippssportsgrills.com/locations/bethany-home/
arizona_production_v1,3,state_curated_arizona_v1,zipps_shea,Zipps Sports Grill Shea,10662 N 32nd St,Phoenix,AZ,85028,USA,33.5839822,-112.0134754,(602) 612-4487,https://www.zippssportsgrills.com/locations/shea/
arizona_production_v1,4,state_curated_arizona_v1,zipps_park_central,Zipps Sports Grill Park Central,3110 N Central Ave Ste G-103,Phoenix,AZ,85012,USA,33.4840868,-112.0738453,(602) 341-6644,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,5,state_curated_arizona_v1,zipps_ahwatukee,Zipps Sports Grill Ahwatukee,4710 E Warner Rd Suite 2,Phoenix,AZ,85044,USA,33.3309056,-111.9806498,(602) 688-8050,https://www.zippssportsgrills.com/locations/ahwatukee/
arizona_production_v1,6,state_curated_arizona_v1,zipps_frank_lloyd_wright,Zipps Sports Grill Frank Lloyd Wright,14148 N 100th St,Scottsdale,AZ,85260,USA,33.6137026,-111.8643489,(480) 314-4600,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,7,state_curated_arizona_v1,zipps_hayden,Zipps Sports Grill Hayden,8380 E Via de Ventura,Scottsdale,AZ,85258,USA,33.5547504,-111.9002735,(480) 922-1500,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,8,state_curated_arizona_v1,zipps_camelback,Zipps Sports Grill Camelback,7551 E Camelback Rd,Scottsdale,AZ,85251,USA,33.5019016,-111.9182503,(480) 970-9507,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,9,state_curated_arizona_v1,zipps_kierland,Zipps Sports Grill Kierland,6501 E Greenway Pkwy,Scottsdale,AZ,85254,USA,33.6251214,-111.9404197,(480) 948-5544,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,10,state_curated_arizona_v1,zipps_mill,Zipps Sports Grill Mill,690 S Mill Ave Bldg C Suite 103,Tempe,AZ,85281,USA,33.4233559,-111.9400777,(480) 404-7255,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,11,state_curated_arizona_v1,zipps_mcclintock,Zipps Sports Grill McClintock,1860 E Warner Rd,Tempe,AZ,85284,USA,33.3356539,-111.9074571,(480) 782-8877,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,12,state_curated_arizona_v1,zipps_citadelle,Zipps Sports Grill Citadelle,19420 N 59th Ave,Glendale,AZ,85308,USA,33.6623206,-112.1879259,(623) 505-7600,https://www.zippssportsgrills.com/our-locations/
arizona_production_v1,13,state_curated_arizona_v1,cold_beers_arcadia,Cold Beers & Cheeseburgers Arcadia,3950 E Indian School Rd #150,Phoenix,AZ,85018,USA,33.4953559,-111.9959659,(602) 314-6221,https://www.coldbeers.com/cheeseburgers/arcadia/
arizona_production_v1,14,state_curated_arizona_v1,cold_beers_ahwatukee,Cold Beers & Cheeseburgers Ahwatukee,5005 E Chandler Blvd,Phoenix,AZ,85048,USA,33.3047369,-111.9756870,(480) 590-5602,https://www.coldbeers.com/cheeseburgers/ahwatukee/
